"","name","mean_2000","mean_2019","varname","value","weighted_count_2000","weighted_count_2019","prop_2000","prop_2019","e_component","c_component"
"1","(Intercept)",4.92326871165897,4.74927970291902,NA,NA,NA,NA,NA,NA,NA,NA
"2","RACE_ETH_bucketAIAN:us_bornTRUE",0.361541411291485,0.580566774222397,NA,NA,1990597,2041395,0.00727535591541767,0.00644908946967511,-0.000479702845052962,0.00159348746982591
"3","RACE_ETH_bucketBlack:us_bornTRUE",-0.0289982283703016,-0.281413087419169,NA,NA,29999600,34207567,0.109644376697123,0.108067111030891,0.000443863200814727,-0.0276758698895053
"4","RACE_ETH_bucketHispanic:us_bornTRUE",-0.530975362387158,-0.0618718022049889,NA,NA,20205135,37353882,0.0738469657314175,0.118006817425185,-0.00273224960939845,0.0346418745332586
"5","RACE_ETH_bucketMultiracial:us_bornTRUE",-0.129923985697929,-0.00733240084413856,NA,NA,3820038,7046163,0.0139617090050976,0.0222599426396726,-6.08459753070164e-05,0.00171158803420235
"6","RACE_ETH_bucketOther:us_bornTRUE",-0.173459511518776,-0.00794108877652552,NA,NA,284016,511170,0.00103803908358812,0.00161486682597627,-4.58064031106707e-06,0.000171814591860317
"7","RACE_ETH_bucketWhite:us_bornTRUE",0.20670094760722,0.160659553660136,NA,NA,181551985,183212446,0.663547321745973,0.578797075633094,-0.013615936713082,-0.0305506436430385
"8","RACE_ETH_bucketAIAN",-0.302310412549648,-0.411939344722685,"RACE_ETH_bucket","AIAN",2025462,2075407,0.00740278265422569,0.00655653875364151,0.000348601157882217,-0.000811559157491838
"9","RACE_ETH_bucketBlack",-0.156076228694044,0.0580550827398181,"RACE_ETH_bucket","Black",32033572,38219367,0.11707826222091,0.1207410213395,0.000212641783685729,0.0250701218297611
"10","RACE_ETH_bucketHispanic",0.800163403078633,0.299461666958825,"RACE_ETH_bucket","Hispanic",34482087,57382478,0.126027244907632,0.181280317926547,0.0165461773508421,-0.0631020603236474
"11","RACE_ETH_bucketMultiracial",-0.235930664341152,-0.255607330307857,"RACE_ETH_bucket","Multiracial",4906454,7844127,0.0179324087862207,0.0247808370425587,-0.00175050846340744,-0.000352850017664864
"12","RACE_ETH_bucketOther",-0.20792326711284,-0.186130927715189,"RACE_ETH_bucket","Other",432284,768295,0.0015799380570454,0.00242716534237815,-0.000157695200604604,3.4430546366399e-05
