"","name","mean_2000","mean_2019","varname","value","weighted_count_2000","weighted_count_2019","prop_2000","prop_2019","e_component","c_component"
"1","(Intercept)",4.91058518775947,4.74176622262024,NA,NA,NA,NA,NA,NA,NA,NA
"2","RACE_ETH_bucketAIAN",0.142557293073312,0.165547468757448,"RACE_ETH_bucket","AIAN",2025462,2075407,0.00740278265422569,0.00655653875364151,-0.000140093535693141,0.000170191273772119
"3","RACE_ETH_bucketBlack",-0.0987784651933556,-0.187852306962182,"RACE_ETH_bucket","Black",32033572,38219367,0.11707826222091,0.1207410213395,-0.000688057750273782,-0.0104286106036345
"4","RACE_ETH_bucketHispanic",0.521017301854293,0.261854689515816,"RACE_ETH_bucket","Hispanic",34482087,57382478,0.126027244907632,0.181280317926547,0.0144682762801628,-0.0326615500160829
"5","RACE_ETH_bucketMultiracial",-0.271709946580035,-0.255246168227749,"RACE_ETH_bucket","Multiracial",4906454,7844127,0.0179324087862207,0.0247808370425587,-0.00174803507081292,0.000295235203578915
"6","RACE_ETH_bucketOther",-0.273465034368075,-0.187589221519018,"RACE_ETH_bucket","Other",432284,768295,0.0015799380570454,0.00242716534237815,-0.00015893070690524,0.000135678464899933
"7","RACE_ETH_bucketWhite",-0.463158211738312,-0.316787821006757,"RACE_ETH_bucket","White",189508611,192478662,0.692627686096902,0.608070516603281,0.0267866814743834,0.101380185045496
"8","AGE_bucket10-14",0.0906634295981611,0.0552761289418774,"AGE_bucket","10-14",20510256,20959661,0.07496214066249,0.0662148820013079,-0.000483514597643455,-0.00265270780946217
"9","AGE_bucket15-19",0.00776120679296119,-0.0792775687357998,"AGE_bucket","15-19",18486736,19284110,0.0675664557488857,0.0609215515532547,0.000526791849111943,-0.00588090157520123
"10","AGE_bucket20-24",-0.270917061530654,-0.285611758694177,"AGE_bucket","20-24",17473577,20442565,0.0638635001411416,0.0645812940046629,-0.000205010367740216,-0.000938454794376656
"11","AGE_bucket25-29",-0.446087487730956,-0.528606631545135,"AGE_bucket","25-29",18659903,22473692,0.0681993571135543,0.070997945239369,-0.00147935224226912,-0.00562775255768792
"12","AGE_bucket30-34",-0.282437971685206,-0.384101282176742,"AGE_bucket","30-34",19848801,21445640,0.0725446143891999,0.0677501664765728,0.00184155359056967,-0.00737512565713797
"13","AGE_bucket35-39",-0.128946423978473,-0.176133718736841,"AGE_bucket","35-39",22607307,20655522,0.0826265711814663,0.0652540588278322,0.00305988520464729,-0.00389892436921317
"14","AGE_bucket40-44",-0.273550866918473,-0.255692857252391,"AGE_bucket","40-44",22388959,19615957,0.0818285395289421,0.0619699086782811,0.00507771006332598,0.00146129484986927
"15","AGE_bucket45-49",-0.625778993863717,-0.569779409482205,"AGE_bucket","45-49",19898169,20413532,0.0727250475812685,0.0644895741686816,0.00469240317783017,0.00407257243867672
"16","AGE_bucket5-9",0.163718804937688,0.141576988690738,"AGE_bucket","5-9",20593927,20078962,0.0752679465613228,0.0634326146562555,-0.00167561065127486,-0.00166656904204606
"17","AGE_bucket50-54",-1.04701894053184,-0.972538612974746,"AGE_bucket","50-54",17221775,21018774,0.0629431987590869,0.0664016293117603,-0.00336345725276648,0.00468803006106779
"18","AGE_bucket55-59",-1.34791936174588,-1.31268957570212,"AGE_bucket","55-59",13235543,21274705,0.0483740737370823,0.0672101557934375,-0.0247259285624472,0.0017042082678226
"19","AGE_bucket60-64",-1.51665134644531,-1.51336543636966,"AGE_bucket","60-64",10669334,19911751,0.038994935805925,0.0629043686777389,-0.0361837093114039,0.000128133852463977
"20","AGE_bucket65-69",-1.64765373491801,-1.6341877088088,"AGE_bucket","65-69",9317998,16588179,0.0340559901723704,0.0524046794030483,-0.0299852024135261,0.000458598852836445
"21","AGE_bucket70-74",-1.74818726352458,-1.72391517723434,"AGE_bucket","70-74",8751099,12535556,0.0319840529630335,0.0396018027849204,-0.013132354534325,0.000776319693430197
"22","AGE_bucket75-79",-1.85301171755468,-1.81310725087742,"AGE_bucket","75-79",7044978,8718453,0.0257484173673965,0.0275429710732893,-0.00325371833624317,0.00102747686282951
"23","AGE_bucket80-84",-1.93017464495727,-1.87817290639449,"AGE_bucket","80-84",4569539,5786836,0.0167010311953558,0.018281529596348,-0.00296844927534331,0.000868482657949701
"24","AGE_bucket85plus",-1.97198002088756,-1.9600184968189,"AGE_bucket","85plus",3315326,5613523,0.012117056654681,0.017734006435344,-0.0110093254658024,0.000144938464816212
